               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.098892,             0.12533,                   0,             0.04351,             0.51351,            0.035346,           0.0050609,            0.085798,             0.13051,                   0,          0.00012069,          0.00012069,            0.096421
                  38,            0.098072,             0.12809,                   0,            0.043505,             0.45946,            0.032781,           0.0050122,            0.085519,             0.13058,                   0,           0.0001172,           0.0001172,            0.096317
                  39,            0.099103,             0.10974,                   0,            0.041794,             0.45946,            0.033258,           0.0049506,            0.085322,             0.13055,                   0,           0.0001138,           0.0001138,            0.096214
                  40,            0.095031,            0.088243,                   0,            0.041687,              0.5232,            0.033917,            0.005169,            0.085075,             0.13066,                   0,          0.00011056,          0.00011056,            0.096111
                  41,             0.09719,             0.13145,                   0,            0.045907,             0.51351,            0.035955,           0.0058426,            0.084884,              0.1306,                   0,          0.00010753,          0.00010753,            0.096008
                  42,            0.098813,            0.093018,                   0,            0.047533,             0.54054,            0.036254,           0.0057074,            0.084675,             0.13064,                   0,          0.00010478,          0.00010478,            0.095905
                  43,            0.096547,             0.12942,                   0,            0.044575,             0.51351,            0.034072,           0.0054478,              0.0845,             0.13055,                   0,          0.00010237,          0.00010237,            0.095802
                  44,            0.092442,             0.12415,                   0,            0.042724,             0.40541,             0.03167,           0.0049937,            0.084288,             0.13053,                   0,          0.00010036,          0.00010036,              0.0957
                  45,             0.10252,             0.12271,                   0,            0.042416,             0.40541,            0.034045,           0.0055334,            0.084129,             0.13049,                   0,           9.881e-05,           9.881e-05,            0.095599
                  46,            0.096214,              0.1114,                   0,            0.039455,             0.43243,            0.032573,           0.0053476,             0.08398,             0.13039,                   0,          9.7781e-05,          9.7781e-05,            0.095498
                  47,            0.094229,             0.12452,                   0,            0.040879,             0.45946,            0.035023,           0.0054253,            0.083818,             0.13026,                   0,           9.733e-05,           9.733e-05,            0.095397
                  48,            0.094302,             0.10454,                   0,            0.039933,             0.45946,             0.03502,           0.0054647,            0.083674,             0.13011,                   0,          9.7514e-05,          9.7514e-05,            0.095298
                  49,            0.094854,             0.11281,                   0,            0.039247,             0.45946,            0.030573,            0.005401,            0.083533,                0.13,                   0,          9.8387e-05,          9.8387e-05,            0.095198
