               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  38,            0.083225,             0.12096,                   0,              0.3359,             0.45946,             0.26664,            0.062863,            0.069355,             0.10649,                   0,          0.00095916,          0.00095916,            0.069859
                  39,            0.080018,            0.094001,                   0,             0.33234,             0.48436,             0.31144,            0.062985,            0.068936,             0.10564,                   0,          0.00093083,          0.00093083,            0.069031
                  40,            0.077966,            0.099258,                   0,             0.34673,             0.45904,             0.28816,            0.069168,            0.068475,             0.10533,                   0,          0.00090381,          0.00090381,            0.068204
                  41,            0.079188,             0.11797,                   0,             0.27532,             0.64865,             0.28461,            0.057624,            0.067902,             0.10448,                   0,           0.0008786,           0.0008786,            0.067379
                  42,            0.069698,            0.079487,                   0,             0.27532,             0.64865,             0.28461,            0.057624,            0.067902,             0.10448,                   0,          0.00085571,          0.00085571,            0.066556
                  43,            0.081957,             0.11125,                   0,             0.29075,              0.7027,             0.33824,            0.066301,            0.067224,             0.10438,                   0,          0.00083562,          0.00083562,            0.065736
                  44,            0.082161,             0.12335,                   0,             0.31223,             0.69942,             0.36456,            0.073652,            0.066846,             0.10302,                   0,          0.00081884,          0.00081884,            0.064919
                  45,            0.081107,             0.11977,                   0,             0.31223,             0.69942,             0.36456,            0.073652,            0.066846,             0.10302,                   0,          0.00080585,          0.00080585,            0.064106
                  46,            0.079483,             0.12727,                   0,             0.32462,             0.75676,             0.38641,              0.0727,            0.066355,             0.10181,                   0,          0.00079713,          0.00079713,            0.063297
                  47,            0.079055,             0.10308,                   0,             0.46331,              0.5133,             0.40744,            0.084869,            0.066085,             0.10046,                   0,          0.00079314,          0.00079314,            0.062493
                  48,            0.080164,             0.11201,                   0,             0.46331,              0.5133,             0.40744,            0.084869,            0.066085,             0.10046,                   0,          0.00079433,          0.00079433,            0.061694
                  49,            0.075469,            0.089999,                   0,             0.39166,             0.53944,             0.35624,            0.091214,            0.065633,            0.099498,                   0,          0.00080115,          0.00080115,            0.060901
